number_of_bonds,gaussian_var_99_dollars,copula_var_99_dollars,gaussian_var_99_per_bond_dollars,copula_var_99_per_bond_dollars
1,7.42201197,9.45000000,7.42201197,9.45000000
2,12.97911632,14.98000000,6.48955816,7.49000000
3,18.43452307,20.51000000,6.14484102,6.83666667
5,29.26610286,38.89000000,5.85322057,7.77800000
10,56.23704210,76.93000000,5.62370421,7.69300000
15,83.17344284,106.89000000,5.54489619,7.12600000
20,110.10060729,136.15000000,5.50503036,6.80750000
30,163.94540606,198.77000000,5.46484687,6.62566667
50,271.62330867,324.89090000,5.43246617,6.49781800
75,406.21473448,479.37000000,5.41619646,6.39160000
100,540.80415333,623.36180000,5.40804153,6.23361800
